gene_symbol	GSM121470	GSM121471	GSM121472	GSM121473	GSM121490	GSM121491	GSM121492	GSM121493	GSM121494	GSM121495	GSM121496	GSM121497	GSM121498	GSM121499	GSM121474	GSM121475	GSM121476	GSM121477	GSM121478	GSM121479	GSM121480	GSM121481	GSM121482	GSM121483	GSM121484	GSM121485	GSM121486	GSM121487	GSM121488	GSM121489
ZNF76	62.72713039	23.65420146	72.57880528	68.16441255	38.61234571	56.3278721	47.26639063	42.29920793	58.0906675	59.89480714	57.95990464	49.69560859	39.95242035	43.91059494	80.94452945	62.88696044	52.28048192	49.29614111	78.41099231	44.73041285	69.14837938	61.09331057	61.0785023	62.08639361	67.16342721	50.35714072	66.10936492	59.2340144	67.06948032	54.70612239
ZNF706	202.0709049	128.0458223	162.4187081	144.8916833	177.4080434	184.4503379	185.6450764	138.7569172	408.2777869	319.2899957	232.5920866	185.1608928	198.6667171	73.45085307	158.9354011	126.313117	293.013269	255.3112314	216.6894587	172.8038263	116.7498484	104.4303783	275.25685	226.7307821	240.2925972	163.6231394	197.7351397	172.8354194	194.9066591	88.50856166
ZNF664	309.0682654	241.0638286	260.343767	219.4857338	106.8132782	121.2665524	243.4266879	193.8667865	218.1563026	205.9151002	301.9032759	289.262046	208.3393792	177.9570152	241.8771571	219.1859858	315.3359229	315.6212996	269.9301567	253.4575873	262.3464136	235.4408887	347.9275464	221.0747502	346.9399298	268.6000403	301.7336009	240.2375728	265.4026881	262.9080218
ZNF664	147.9630711	117.3636064	84.96424713	94.62465969	104.2569445	141.8185666	105.5371944	89.59743947	98.5868657	79.34599574	117.9108118	102.0610767	83.20301139	67.39989304	62.84661243	78.50255777	88.9163951	92.26014908	114.8901513	77.12755071	94.1589693	88.91759185	95.71935125	26.56905464	121.9589517	103.0555691	68.56756627	43.57268037	96.56702846	81.0896787
ZNF652	869.3792513	731.2963185	502.2418513	426.8945014	507.9258552	699.9939394	540.7339927	429.6690226	457.2820316	422.9442263	524.1769689	382.9933947	494.2948461	361.5333073	392.7484579	334.2961107	457.5262341	375.7200276	486.2955008	424.4703227	407.5864822	383.5042191	473.398463	322.3620512	488.3456576	351.8425461	468.2383101	417.8488426	408.1340667	340.1008696
ZNF623	125.552495	84.78932926	137.6207481	112.3586242	88.91253558	90.72916916	151.0156694	93.68465507	77.24938173	54.99832614	100.2266437	84.08363306	105.1449054	109.8296389	114.0950056	115.6071391	92.22245781	115.5075852	107.2259483	89.72896867	105.7622561	84.63325227	127.1011591	110.9229152	102.7362417	68.63796887	94.64587623	85.47923023	99.16877443	89.19300318
ZNF623	125.4633753	43.15420785	127.9535665	88.79263285	76.83795057	80.77641682	93.34984303	85.17927133	79.35914066	88.55072277	120.05371	99.6728085	70.06024486	51.50895905	100.6160189	90.139291	126.9590003	107.7364532	113.8709477	95.14259301	135.524539	106.6052469	167.9525246	109.1064005	119.8591722	91.30485407	142.2272256	103.9223287	120.2157127	90.8802311
ZNF609	66249.89187	65653.55828	27372.08371	20159.58198	9823.572158	10294.04997	716.6656604	21503.90844	34298.34429	23733.98279	37649.70598	30150.99361	30122.73191	23944.73407	33615.73461	20860.969	25546.9077	25035.89352	34926.11918	28902.55288	52057.04026	48032.6545	23111.62212	22447.5156	33362.70056	22005.57406	39608.36146	28703.69243	40394.12619	30987.71334
ZNF587	32.70998215	28.33703863	22.86104238	24.40438757	13.42701309	13.8516126	35.15622939	17.13620139	42.17217492	31.61680783	14.3693359	8.103052892	22.95408487	19.63003166	23.75947659	11.75044126	14.09115003	19.15254897	12.13281859	13.98769109	32.48505575	19.61130121	25.70122845	19.66543235	28.37318701	9.413452501	31.5129993	5.607451558	18.23103306	16.40923208
ZNF587	140.1529413	97.60839344	97.68620785	87.59644362	279.4953951	312.8057801	97.77573018	106.9941574	154.2950173	175.4944796	80.35050343	91.79993606	99.78815116	90.20330475	80.96103545	86.543733	73.18836712	71.00496576	89.84872184	72.71751	101.0998865	83.41302898	126.034065	75.07057509	76.57687971	62.14274031	51.85648218	70.41817169	73.98335253	65.17098715
